policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,n_hosts,boot_rep
FIFO,656,727.1603963414634,2644.0300000000007,11354.0,0.4425607008910223,0.006590909090909091,0,120,0
QSSF_proxy,656,202.91263719512196,777.75,9047.0,0.5554144133874948,0.0018181818181818182,177,120,0
RF_SRPT_proxy,656,202.91263719512196,777.75,9047.0,0.5554144133874948,0.0018181818181818182,175,120,0
Backfill_FIFO,656,203.11842987804877,777.75,9047.0,0.5554144133874948,0.0020454545454545456,247,120,0
Wind_proxy,656,203.11842987804877,777.75,9047.0,0.5554144133874948,0.0025,247,120,0
PredSched_LLM,656,202.91568597560976,777.75,9047.0,0.5554144133874948,0.0027272727272727275,176,120,0
FIFO,656,173.48262195121953,663.25,10115.0,0.29220537362003624,0.003430984428609132,0,120,1
QSSF_proxy,656,170.41402439024392,663.25,10115.0,0.2922053736200361,0.003694906307732911,16,120,1
RF_SRPT_proxy,656,170.41402439024392,663.25,10115.0,0.2922053736200361,0.003694906307732911,16,120,1
Backfill_FIFO,656,170.46128048780488,663.25,10115.0,0.2922053736200361,0.003694906307732911,51,120,1
Wind_proxy,656,170.46128048780488,663.25,10115.0,0.2922053736200361,0.003694906307732911,51,120,1
PredSched_LLM,656,170.66858231707317,663.25,10115.0,0.2922053736200361,0.003430984428609132,16,120,1
FIFO,656,103.23239329268293,357.0,10115.0,0.1832968229939035,0.004401204540189946,0,120,2
QSSF_proxy,656,103.20798780487806,357.0,10115.0,0.1832968229939035,0.004401204540189946,1,120,2
RF_SRPT_proxy,656,103.20798780487806,357.0,10115.0,0.1832968229939035,0.004401204540189946,1,120,2
Backfill_FIFO,656,103.20800304878048,357.0,10115.0,0.1832968229939035,0.004401204540189946,2,120,2
Wind_proxy,656,103.28879573170731,357.0,10115.0,0.1832968229939035,0.0039379198517488995,4,120,2
PredSched_LLM,656,103.25221036585366,357.0,10115.0,0.18329682299390354,0.004169562195969423,2,120,2
FIFO,656,203.66268292682926,1053.25,9047.0,0.30980486625400694,0.0067733990147783255,0,120,3
QSSF_proxy,656,198.7343292682927,975.0,9047.0,0.30980486625400705,0.007389162561576354,1,120,3
RF_SRPT_proxy,656,198.7343292682927,975.0,9047.0,0.30980486625400705,0.007389162561576354,1,120,3
Backfill_FIFO,656,199.14896341463418,975.0,9047.0,0.30980486625400705,0.007389162561576354,26,120,3
Wind_proxy,656,199.14896341463418,975.0,9047.0,0.30980486625400705,0.007389162561576354,26,120,3
PredSched_LLM,656,198.7343292682927,975.0,9047.0,0.30980486625400705,0.005541871921182266,1,120,3
FIFO,656,120.43266768292683,399.25,10115.0,0.18179867049761084,0.006197790353004581,0,120,4
QSSF_proxy,656,120.42958841463414,399.25,10115.0,0.18179867049761084,0.021827000808407437,0,120,4
RF_SRPT_proxy,656,120.42958841463414,399.25,10115.0,0.18179867049761084,0.021827000808407437,0,120,4
Backfill_FIFO,656,120.42958841463414,399.25,10115.0,0.18179867049761084,0.006197790353004581,4,120,4
Wind_proxy,656,120.42196646341463,399.25,10115.0,0.18179867049761084,0.005928321207221773,3,120,4
PredSched_LLM,656,120.45243902439024,399.25,10115.0,0.18179867049761084,0.010778765831312315,0,120,4
FIFO,656,1192.2205030487808,4694.01,12919.01,0.3975187501467475,0.0033127208480565372,0,120,5
