cluster,n_hosts,PredSched_minus_RF_SRPT_mean,PredSched_minus_RF_SRPT_ci_lo,PredSched_minus_RF_SRPT_ci_hi,pct_reps_PredSched_beats_RF_SRPT,RF_SRPT_minus_Backfill_mean,RF_SRPT_minus_Backfill_ci_lo,RF_SRPT_minus_Backfill_ci_hi,pct_reps_RF_SRPT_beats_Backfill,Backfill_minus_FIFO_mean,Backfill_minus_FIFO_ci_lo,Backfill_minus_FIFO_ci_hi,pct_reps_Backfill_beats_FIFO
Earth,8,-0.01458035714285657,-0.014580357142856519,0.0,2.5,-563.7227720238097,-7149.268039285714,15.886957142856849,90.0,-2244.7230279761907,-10904.631249404762,-158.9188053571431,100.0
Earth,107,0.0,0.0,0.0,0.0,-1.4210854715202005e-15,-2.842170943040401e-14,2.842170943040401e-14,10.0,0.0,0.0,0.0,0.0
Earth,12,0.0,0.0,0.0,0.0,-65.69032916666674,-520.8514952380963,3.798642857142782,67.5,-615.8125208333333,-2978.209229761905,0.0,95.0
Saturn,4,0.0,0.0,0.0,0.0,-883.1124589285707,-1635.0647505952377,-427.0182535714281,100.0,-3927.3518571428576,-5411.23502857143,-2468.630597023809,100.0
Saturn,259,0.0,0.0,0.0,0.0,7.105427357601002e-16,-1.4566126083082053e-14,1.4566126083082034e-14,5.0,0.0,0.0,0.0,0.0
Saturn,12,-0.0205374999999993,-0.020537499999999227,0.0,2.5,-117.89713869047618,-310.5526482142857,-12.661255952380957,100.0,-485.2699380952381,-1010.6516636904763,-101.43376904761915,100.0
Uranus,6,0.0,0.0,0.0,0.0,-344.46231845238077,-1271.0784601190473,127.05286964285655,90.0,-8154.525639880952,-15470.061472619047,-3386.6049202380964,100.0
Uranus,267,0.0,0.0,0.0,0.0,0.0,-2.9132252166164105e-14,2.913225216616407e-14,5.0,0.0,0.0,0.0,0.0
Uranus,18,0.0028119047619028946,-0.00556309523809375,0.004326190476133519,5.0,-59.51173154761905,-214.50555357142852,89.49055297619066,80.0,-1386.4478416666666,-3796.096295238095,-286.1242327380955,100.0
Venus,4,0.0,0.0,0.0,0.0,-607.9000803571425,-2613.868807142857,41.80297916666717,95.0,-8912.256536904762,-13659.855460119043,-4901.761731547617,100.0
Venus,121,0.0,0.0,0.0,0.0,-7.105427357601002e-16,-2.9132252166164105e-14,2.842170943040401e-14,7.5,0.0,0.0,0.0,0.0
Venus,16,0.3655017857142859,-0.03268571428569373,5.3940029761904595,7.5,-178.55264999999997,-530.4682363095237,-9.231706547619108,97.5,-844.5509535714285,-1854.4720279761907,-290.2488148809524,100.0
