policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,cluster,n_hosts,total_capacity
FIFO,3174,122.15845935727789,735.8949999999984,22556.783333333333,0.22743879915684434,0.01351709514974821,0,Earth,107,856
QSSF_proxy,3174,122.1584593572779,735.8949999999984,22556.783333333333,0.22743879915684434,0.01351709514974821,0,Earth,107,856
RF_SRPT_proxy,3174,122.1584593572779,735.8949999999984,22556.783333333333,0.22743879915684434,0.01351709514974821,0,Earth,107,856
Backfill_FIFO,3174,122.15845935727789,735.8949999999984,22556.783333333333,0.22743879915684434,0.01351709514974821,0,Earth,107,856
Wind_proxy,3174,122.15845935727789,735.8949999999984,22556.783333333333,0.22743879915684434,0.01192684866154254,0,Earth,107,856
PredSched_LLM,3174,122.1584593572779,735.8949999999984,22556.783333333333,0.22743879915684434,0.013252054068380599,0,Earth,107,856
FIFO,3174,122.20985612266333,735.8949999999984,22556.783333333333,0.24581769201800358,0.01351709514974821,0,Earth,99,792
QSSF_proxy,3174,122.20917349296367,735.8949999999984,22556.783333333333,0.24581769201800358,0.01351709514974821,0,Earth,99,792
RF_SRPT_proxy,3174,122.20917349296367,735.8949999999984,22556.783333333333,0.24581769201800358,0.01351709514974821,0,Earth,99,792
Backfill_FIFO,3174,122.20985612266333,735.8949999999984,22556.783333333333,0.24581769201800358,0.01351709514974821,0,Earth,99,792
Wind_proxy,3174,122.20985612266333,735.8949999999984,22556.783333333333,0.24581769201800358,0.015637423800689106,0,Earth,99,792
PredSched_LLM,3174,122.20917349296367,735.8949999999984,22556.783333333333,0.24581769201800358,0.013252054068380599,0,Earth,99,792
FIFO,3174,122.28516068052932,735.8949999999984,22556.783333333333,0.26452121206285223,0.01351709514974821,0,Earth,92,736
QSSF_proxy,3174,122.28515017853391,735.8949999999984,22556.783333333333,0.26452121206285223,0.01351709514974821,0,Earth,92,736
RF_SRPT_proxy,3174,122.28515017853391,735.8949999999984,22556.783333333333,0.26452121206285223,0.01351709514974821,0,Earth,92,736
Backfill_FIFO,3174,122.28516068052932,735.8949999999984,22556.783333333333,0.26452121206285223,0.01351709514974821,0,Earth,92,736
Wind_proxy,3174,122.28516068052932,735.8949999999984,22556.783333333333,0.26452121206285223,0.012987012987012988,0,Earth,92,736
PredSched_LLM,3174,122.28515017853391,735.8949999999984,22556.783333333333,0.26452121206285223,0.013252054068380599,0,Earth,92,736
FIFO,3174,122.36295946229784,735.8949999999984,22556.783333333333,0.2863053118797921,0.01351709514974821,0,Earth,85,680
QSSF_proxy,3174,122.36325876916614,735.8949999999984,22556.783333333333,0.28630531187979197,0.01351709514974821,0,Earth,85,680
RF_SRPT_proxy,3174,122.36325876916614,735.8949999999984,22556.783333333333,0.28630531187979197,0.01351709514974821,0,Earth,85,680
Backfill_FIFO,3174,122.36295946229784,735.8949999999984,22556.783333333333,0.2863053118797921,0.01351709514974821,0,Earth,85,680
Wind_proxy,3174,122.36295946229784,735.8949999999984,22556.783333333333,0.2863053118797921,0.012456930824277764,0,Earth,85,680
PredSched_LLM,3174,122.36325876916614,735.8949999999984,22556.783333333333,0.28630531187979197,0.013252054068380599,0,Earth,85,680
FIFO,3174,122.4434730098719,735.8949999999984,22556.783333333333,0.3119993783305429,0.01351709514974821,0,Earth,78,624
QSSF_proxy,3174,122.44369880277252,735.8949999999984,22556.783333333333,0.3119993783305429,0.01351709514974821,0,Earth,78,624
RF_SRPT_proxy,3174,122.44369880277252,735.8949999999984,22556.783333333333,0.3119993783305429,0.01351709514974821,0,Earth,78,624
Backfill_FIFO,3174,122.4434730098719,735.8949999999984,22556.783333333333,0.3119993783305429,0.01351709514974821,0,Earth,78,624
Wind_proxy,3174,122.4434730098719,735.8949999999984,22556.783333333333,0.3119993783305429,0.013782136231115823,0,Earth,78,624
PredSched_LLM,3174,122.44369880277252,735.8949999999984,22556.783333333333,0.3119993783305429,0.01351709514974821,0,Earth,78,624
FIFO,3174,122.55710985087167,735.8949999999984,22556.783333333333,0.3427598804194693,0.01351709514974821,0,Earth,71,568
QSSF_proxy,3174,122.55170132325144,735.8949999999984,22556.783333333333,0.34275988041946925,0.01351709514974821,3,Earth,71,568
RF_SRPT_proxy,3174,122.55170132325144,735.8949999999984,22556.783333333333,0.34275988041946925,0.01351709514974821,4,Earth,71,568
Backfill_FIFO,3174,122.55190086116362,735.8949999999984,22556.783333333333,0.34275988041946925,0.01351709514974821,4,Earth,71,568
Wind_proxy,3174,122.76713925645873,746.4666666666661,22556.783333333333,0.3427598804194693,0.012191889742910151,8,Earth,71,568
PredSched_LLM,3174,122.55170132325144,735.8949999999984,22556.783333333333,0.34275988041946925,0.013252054068380599,4,Earth,71,568
FIFO,3174,123.31884057971014,747.9891666666659,22556.783333333333,0.38024924234034896,0.01351709514974821,0,Earth,64,512
QSSF_proxy,3174,123.19777882797732,746.4666666666661,22556.783333333333,0.38024924234034907,0.01351709514974821,11,Earth,64,512
RF_SRPT_proxy,3174,123.19669712245326,746.4666666666661,22556.783333333333,0.38024924234034907,0.01351709514974821,10,Earth,64,512
Backfill_FIFO,3174,123.27643877336693,747.9891666666659,22556.783333333333,0.3802492423403489,0.01351709514974821,9,Earth,64,512
Wind_proxy,3174,123.27643877336693,747.9891666666659,22556.783333333333,0.3802492423403489,0.014312218393851047,9,Earth,64,512
PredSched_LLM,3174,123.19669712245326,746.4666666666661,22556.783333333333,0.38024924234034907,0.013782136231115823,10,Earth,64,512
FIFO,2349,89.70886192706112,316.4799999999992,10704.1,0.07172466372445822,0.03581603581603582,0,Saturn,259,2072
QSSF_proxy,2349,89.70886192706112,316.4799999999992,10704.1,0.07172466372445822,0.03663003663003663,0,Saturn,259,2072
RF_SRPT_proxy,2349,89.70886192706112,316.4799999999992,10704.1,0.07172466372445822,0.03663003663003663,0,Saturn,259,2072
Backfill_FIFO,2349,89.70886192706112,316.4799999999992,10704.1,0.07172466372445822,0.03581603581603582,0,Saturn,259,2072
Wind_proxy,2349,89.70886192706112,316.4799999999992,10704.1,0.07172466372445822,0.04436304436304436,0,Saturn,259,2072
PredSched_LLM,2349,89.70886192706112,316.4799999999992,10704.1,0.07172466372445822,0.0407000407000407,0,Saturn,259,2072
FIFO,2349,89.70886192706112,316.4799999999992,10704.1,0.08482505892527226,0.03581603581603582,0,Saturn,219,1752
QSSF_proxy,2349,89.70886192706112,316.4799999999992,10704.1,0.08482505892527226,0.03663003663003663,0,Saturn,219,1752
RF_SRPT_proxy,2349,89.70886192706112,316.4799999999992,10704.1,0.08482505892527226,0.03663003663003663,0,Saturn,219,1752
Backfill_FIFO,2349,89.70886192706112,316.4799999999992,10704.1,0.08482505892527226,0.03581603581603582,0,Saturn,219,1752
Wind_proxy,2349,89.70886192706112,316.4799999999992,10704.1,0.08482505892527226,0.03785103785103785,0,Saturn,219,1752
PredSched_LLM,2349,89.70886192706112,316.4799999999992,10704.1,0.08482505892527226,0.0407000407000407,0,Saturn,219,1752
FIFO,2349,89.70886192706112,316.4799999999992,10704.1,0.1037803793555009,0.03581603581603582,0,Saturn,179,1432
QSSF_proxy,2349,89.70886192706112,316.4799999999992,10704.1,0.1037803793555009,0.03663003663003663,0,Saturn,179,1432
RF_SRPT_proxy,2349,89.70886192706112,316.4799999999992,10704.1,0.1037803793555009,0.03663003663003663,0,Saturn,179,1432
Backfill_FIFO,2349,89.70886192706112,316.4799999999992,10704.1,0.1037803793555009,0.03581603581603582,0,Saturn,179,1432
Wind_proxy,2349,89.70886192706112,316.4799999999992,10704.1,0.1037803793555009,0.03418803418803419,0,Saturn,179,1432
PredSched_LLM,2349,89.70886192706112,316.4799999999992,10704.1,0.1037803793555009,0.04110704110704111,0,Saturn,179,1432
FIFO,2349,89.70886192706112,316.4799999999992,10704.1,0.13269062789024758,0.03581603581603582,0,Saturn,140,1120
QSSF_proxy,2349,89.70886192706112,316.4799999999992,10704.1,0.13269062789024758,0.03663003663003663,0,Saturn,140,1120
RF_SRPT_proxy,2349,89.70886192706112,316.4799999999992,10704.1,0.13269062789024758,0.03663003663003663,0,Saturn,140,1120
Backfill_FIFO,2349,89.70886192706112,316.4799999999992,10704.1,0.13269062789024758,0.03581603581603582,0,Saturn,140,1120
Wind_proxy,2349,89.70886192706112,316.4799999999992,10704.1,0.13269062789024758,0.0407000407000407,0,Saturn,140,1120
PredSched_LLM,2349,89.70886192706112,316.4799999999992,10704.1,0.13269062789024758,0.04110704110704111,0,Saturn,140,1120
FIFO,2349,89.70886192706112,316.4799999999992,10704.1,0.1857668790463469,0.03581603581603582,0,Saturn,100,800
QSSF_proxy,2349,89.70886192706112,316.4799999999992,10704.1,0.1857668790463469,0.03663003663003663,0,Saturn,100,800
RF_SRPT_proxy,2349,89.70886192706112,316.4799999999992,10704.1,0.1857668790463469,0.03663003663003663,0,Saturn,100,800
Backfill_FIFO,2349,89.70886192706112,316.4799999999992,10704.1,0.1857668790463469,0.03581603581603582,0,Saturn,100,800
Wind_proxy,2349,89.70886192706112,316.4799999999992,10704.1,0.1857668790463469,0.047619047619047616,0,Saturn,100,800
PredSched_LLM,2349,89.70886192706112,316.4799999999992,10704.1,0.1857668790463469,0.05413105413105413,0,Saturn,100,800
FIFO,2349,118.9733290762026,363.7499999999998,10704.1,0.30961146507724474,0.03866503866503866,0,Saturn,60,480
QSSF_proxy,2349,94.99369235135515,347.6999999999997,10704.1,0.30961146507724474,0.03622303622303622,302,Saturn,60,480
RF_SRPT_proxy,2349,94.96724847452813,332.9433333333334,10704.1,0.3096114650772448,0.030525030525030524,322,Saturn,60,480
Backfill_FIFO,2349,96.06075635021989,324.0400000000001,10704.1,0.30961146507724524,0.045584045584045586,648,Saturn,60,480
Wind_proxy,2349,96.4754363558961,326.61999999999955,10704.1,0.3096114650772449,0.045177045177045176,612,Saturn,60,480
PredSched_LLM,2349,94.96724847452813,332.9433333333334,10704.1,0.3096114650772448,0.030525030525030524,322,Saturn,60,480
FIFO,2349,2475.9450333475233,5815.069999999997,15615.366666666665,0.6063829219508156,0.07326007326007326,0,Saturn,21,168
QSSF_proxy,2349,314.8423371647509,2581.6266666666643,11036.683333333334,0.8579472093820478,0.047619047619047616,1888,Saturn,21,168
RF_SRPT_proxy,2349,303.7277919682134,2567.6399999999976,11236.450000000003,0.8426942376521671,0.04110704110704111,1853,Saturn,21,168
Backfill_FIFO,2349,570.657740882645,2031.6700000000005,11036.683333333334,0.8579472093820465,0.022792022792022793,2187,Saturn,21,168
Wind_proxy,2349,607.8492975734355,2290.463333333333,11255.683333333334,0.8412542700650495,0.0582010582010582,2187,Saturn,21,168
PredSched_LLM,2349,303.7277919682134,2567.6399999999976,11236.450000000003,0.8426942376521671,0.04110704110704111,1853,Saturn,21,168
FIFO,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.11142429145062936,0.01890648952478283,0,Uranus,267,2136
QSSF_proxy,1815,187.98365472910928,988.5349999999985,14650.966666666667,0.11142429145062936,0.01890648952478283,0,Uranus,267,2136
RF_SRPT_proxy,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.11142429145062936,0.01788451711803781,0,Uranus,267,2136
Backfill_FIFO,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.11142429145062936,0.01890648952478283,0,Uranus,267,2136
Wind_proxy,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.11142429145062936,0.02350536535513541,0,Uranus,267,2136
PredSched_LLM,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.11142429145062936,0.018395503321410323,0,Uranus,267,2136
FIFO,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.13340935344088825,0.01890648952478283,0,Uranus,223,1784
QSSF_proxy,1815,187.98365472910928,988.5349999999985,14650.966666666667,0.13340935344088825,0.01890648952478283,0,Uranus,223,1784
RF_SRPT_proxy,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.13340935344088825,0.01788451711803781,0,Uranus,223,1784
Backfill_FIFO,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.13340935344088825,0.01890648952478283,0,Uranus,223,1784
