policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,n_hosts,boot_rep
FIFO,651,429.28043010752685,1815.5,10459.0,0.31582931864901065,0.0043980208905992305,0,120,0
QSSF_proxy,651,162.28192012288787,876.0,10115.0,0.326570325630252,0.0038482682792743265,132,120,0
RF_SRPT_proxy,651,162.2819201228879,876.0,10115.0,0.326570325630252,0.0038482682792743265,128,120,0
Backfill_FIFO,651,162.28499231950846,876.0,10115.0,0.326570325630252,0.0043980208905992305,184,120,0
Wind_proxy,651,162.28499231950846,876.0,10115.0,0.326570325630252,0.004123144584936778,184,120,0
PredSched_LLM,651,162.27423963133643,876.0,10115.0,0.326570325630252,0.0035733919736118747,128,120,0
FIFO,651,154.1789400921659,650.0,10115.0,0.267253067844785,0.0054333061668024995,0,120,1
QSSF_proxy,651,148.90244239631338,650.0,10115.0,0.2672530678447849,0.005161640858462374,15,120,1
RF_SRPT_proxy,651,148.90244239631338,650.0,10115.0,0.2672530678447849,0.005161640858462374,14,120,1
Backfill_FIFO,651,148.8025960061444,650.0,10115.0,0.267253067844785,0.005161640858462374,43,120,1
Wind_proxy,651,148.8025960061444,650.0,10115.0,0.267253067844785,0.005161640858462374,43,120,1
PredSched_LLM,651,151.81336405529953,650.0,10115.0,0.2672530678447849,0.007334963325183374,16,120,1
FIFO,651,123.68491551459294,281.5,10115.0,0.30665824064920094,0.01798736023334954,0,120,2
QSSF_proxy,651,123.52669738863288,281.5,10115.0,0.3066582406492009,0.018959649975692758,9,120,2
RF_SRPT_proxy,651,123.52669738863288,281.5,10115.0,0.3066582406492009,0.018959649975692758,8,120,2
Backfill_FIFO,651,123.52669738863288,281.5,10115.0,0.3066582406492009,0.018959649975692758,21,120,2
Wind_proxy,651,123.52669738863288,281.5,10115.0,0.3066582406492009,0.01968886728245017,21,120,2
PredSched_LLM,651,123.56658986175115,281.5,10115.0,0.3066582406492009,0.012153621779290228,8,120,2
FIFO,651,465.75980030721973,1569.0,9655.01,0.5016011505943547,0.0022878059940517046,0,120,3
QSSF_proxy,651,208.58497695852535,1303.0,9047.0,0.5353116088206037,0.001601464195836193,173,120,3
RF_SRPT_proxy,651,208.58497695852535,1303.0,9047.0,0.5353116088206037,0.001601464195836193,172,120,3
Backfill_FIFO,651,211.26086021505378,1303.0,9047.0,0.5353116088206036,0.001601464195836193,230,120,3
Wind_proxy,651,207.7078648233487,1303.0,9047.0,0.5353116088206037,0.0018302447952413636,232,120,3
PredSched_LLM,651,208.58497695852535,1303.0,9047.0,0.5353116088206037,0.001601464195836193,172,120,3
FIFO,651,186.36576036866362,647.5,10115.0,0.3186883825589058,0.024607812980621348,0,120,4
QSSF_proxy,651,177.2500460829493,647.5,10115.0,0.31868838255890575,0.0064595509074131035,14,120,4
RF_SRPT_proxy,651,177.2500460829493,647.5,10115.0,0.31868838255890575,0.0064595509074131035,14,120,4
Backfill_FIFO,651,177.14714285714288,647.5,10115.0,0.3186883825589057,0.024915410642879113,54,120,4
Wind_proxy,651,177.15635944700463,647.5,10115.0,0.3186883825589057,0.01876345739772378,54,120,4
PredSched_LLM,651,177.2500460829493,647.5,10115.0,0.31868838255890575,0.0064595509074131035,14,120,4
FIFO,651,1168.025913978495,4710.505,12701.01,0.41112153351058967,0.002564102564102564,0,120,5
QSSF_proxy,651,264.5552380952381,1303.0,9048.0,0.5771064001252579,0.002097902097902098,148,120,5
RF_SRPT_proxy,651,264.5552380952381,1303.0,9048.0,0.5771064001252579,0.002097902097902098,148,120,5
Backfill_FIFO,651,268.9563901689708,1271.5,9396.01,0.5557314975541038,0.002097902097902098,153,120,5
