host_ip,observed_max_gpu,capacity,DSW,PSW,ASW
00739f2a56caa97abfb5d2e37baeaabad64c89873c9b3505c9b55714d42da400,8.0,8,G6,P10,S47
00a787e5a0df36a28b7179710808a8aa775493213da00720f2282a88e97bf434,8.0,8,G6,P10,S30
01100278ded8590b457bfe65f81f1848807da8e44376da576846860fbd3575d3,4.0,8,G6,P10,S42
017648b1e3ee306f7dacd36103e443aacec02075f3e6bebddf006745c1dbc94e,8.0,8,G6,P10,S15
02ea92027ed4d328e2111e0273a0c0a615af8ac9bbc349241d86c9d4f755380e,8.0,8,G6,P12,S4
036674c85459ff0668c7bf8d4971673f480fc00e305be40868908845dffb0b50,8.0,8,G6,P8,S29
045617a7478cbb9eb0d97a62e1c4fd14ad33d04af4ac3339fc2cf13d9aa95d21,8.0,8,G6,P8,S26
0457406ec84224289cb4f65f1b304c95533977679f979346dc4091de7a391ddd,8.0,8,G6,P10,S15
04a94e502b8b70a04a2f3b8a952488e52c17b6a2accabd523cfad728d7d46410,8.0,8,G6,P10,S22
051a6753b72c8e9b42d83f18952739272fe6f709fcffb60387e2dc4b3a23ee08,8.0,8,G6,P10,S5
063232ecf3406ae926991e974dc2810015688863f91d392b195347a5c7e4b8b8,8.0,8,G6,P10,S17
06b92d82efb63bedc32bf77b88228b932bcbf05ca229acf4ca0164ccfdd8e29d,8.0,8,G6,P12,S25
06c02c4c8d25592f2a62ea352de25abb213b7d64fe767dac8d1c31af835ba01e,8.0,8,G6,P12,S2
06dc001655a4d2b52b76653ebbe600d3fc2db0152040ca8e267e52c38e8b6738,8.0,8,G6,P10,S6
06e90f04a5d4714331715a9f22422200867736e6f5585db4d346596c736d22ec,8.0,8,G6,P12,S31
06ff466619b5feb3a1054ebcad7d42b23a6672d6be5bb2ea5cb1fa1dafcb2415,8.0,8,G6,P10,S20
077dc202f201eeb9cd37151d24ecb45714a40f217dd839eb7a25fb2421ff7328,8.0,8,G6,P8,S17
07ff47f0e5492e95f1430092897d66dca22b4c056f44cf7a80b09ab9e03a220c,8.0,8,G6,P10,S2
0885b46d943769abb06782db3fdbeae825ca11397498db4626909aa7ef9f7edc,8.0,8,G6,P10,S43
092531d2a8c67cd6bc4fa16021b79c55076abc57bb2cd8de33ed09e16d9654c7,8.0,8,G6,P10,S45
095899ae7d8b0752025c87df518affac25b63ab8664237e2273b0923e0181d87,8.0,8,G6,P12,S9
096c9aaaf677251fe6b5dd902cb9fd0a1da9305a0cc252a8d792079e3edf63c3,8.0,8,G6,P8,S19
0a69356695b3f934e18e8877153f209070dabef7b3118dc897d907e812cbf31f,8.0,8,G6,P10,S3
0af943d324196eebe7deeddeb67803d766f392f998fb39ad4a6094de376f2df9,8.0,8,G6,P8,S17
0b00acd7149011059724a711c0b25cd7f296e1b73a75b2dca369ebd1cb3156c1,8.0,8,G6,P12,S22
0b3234adbb68a5e422d60fd6635e3ac5d6f5ca79aa3263652ca73b34ba9c8552,8.0,8,G6,P12,S16
0bcb143b0d5ecfc59ff7d91e6d254d65ed066352b5317e147462333506219710,8.0,8,G6,P12,S11
0c1c6ee424e57fec7d70be5060ffdccfba01a16b2c366526b8d993a0ea83a04c,8.0,8,G6,P10,S23
0c9d9de1b19e7f39b08f49ddfa26744ae26d3adf8bd59af1b16e203b6fa5fe4b,8.0,8,G6,P10,S14
0cfc427a8cda3c0a7a5556a5ce522210ac64f0685853cb2db0009250e028ad80,8.0,8,G6,P12,S5
0d16819c2cf7d02eda9866777622f0fc18cda50ce21ec6ce3415a582a29857f2,8.0,8,G6,P10,S11
0d75412c07d740e2bdd2344dff461427c2821c0d93965011247b090b80ed2a7e,8.0,8,G6,P10,S1
0d87f304d089fdda5f219ea68e5b2b08991b07af3e2c834457a88118cab33ea5,8.0,8,G6,P10,S24
0db0301454a0821a02681272968228b6eeef486fcd87b7e6685388b699e6e486,8.0,8,G6,P10,S10
0de56c8fe0c136c8453cd751e063b6f98f91ea03f5ffb9ac5c51831e81ea731f,8.0,8,G6,P10,S17
0e234fce7e210ee44871368aaaf878fc169de168675a6ad917aec0595aed2abf,8.0,8,G6,P8,S32
0e9093aa16da42d4738651c102cead76e35065fce43f67fd75b88040b4d560af,8.0,8,G6,P10,S9
0f45e9f0d167e57517dee39bc3b5afca5fb7f1b25cd445d98a13dbee86ff25b9,8.0,8,G6,P12,S8
0f50caabc10fd0efc3595b6a17cb77a86d0e95e2b8d809bdd7dcd3981ec7b978,8.0,8,G6,P10,S42
104a8807c28569e2a84d5b76a955a7063e500f6f0daf75c68141bdbb73634366,8.0,8,G6,P10,S23
