policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,seed
FIFO,656,142.14425304878048,602.5,10115.0,0.25914624835228217,0.005649717514124294,0,0
QSSF_proxy,656,134.70064024390243,602.5,10115.0,0.2591462483522821,0.01989683124539425,10,0
RF_SRPT_proxy,656,134.70064024390243,602.5,10115.0,0.2591462483522821,0.01989683124539425,10,0
Pollux_proxy,656,135.95673780487803,602.5,10115.0,0.2591462483522821,0.005404077622205846,31,0
Wind_proxy,656,135.96893292682927,602.5,10115.0,0.2591462483522821,0.005404077622205846,34,0
PredSched_LLM,656,136.60763719512195,602.5,10115.0,0.25914624835228206,0.011790714812085483,7,0
FIFO,656,142.14425304878048,602.5,10115.0,0.25914624835228217,0.005649717514124294,0,1
QSSF_proxy,656,134.70064024390243,602.5,10115.0,0.2591462483522821,0.01989683124539425,10,1
RF_SRPT_proxy,656,134.70064024390243,602.5,10115.0,0.2591462483522821,0.01989683124539425,10,1
Pollux_proxy,656,135.95673780487803,602.5,10115.0,0.2591462483522821,0.005404077622205846,31,1
Wind_proxy,656,135.96893292682927,602.5,10115.0,0.2591462483522821,0.005404077622205846,34,1
PredSched_LLM,656,136.7524542682927,602.5,10115.0,0.25914624835228206,0.01203635470400393,6,1
FIFO,656,142.14425304878048,602.5,10115.0,0.25914624835228217,0.005649717514124294,0,2
QSSF_proxy,656,134.70064024390243,602.5,10115.0,0.2591462483522821,0.01989683124539425,10,2
RF_SRPT_proxy,656,134.70064024390243,602.5,10115.0,0.2591462483522821,0.01989683124539425,10,2
Pollux_proxy,656,135.95673780487803,602.5,10115.0,0.2591462483522821,0.005404077622205846,31,2
Wind_proxy,656,136.200625,602.5,10115.0,0.25914624835228206,0.005649717514124294,44,2
PredSched_LLM,656,136.5680030487805,602.5,10115.0,0.25914624835228206,0.011299435028248588,6,2
FIFO,656,142.14425304878048,602.5,10115.0,0.25914624835228217,0.005649717514124294,0,3
QSSF_proxy,656,134.70064024390243,602.5,10115.0,0.2591462483522821,0.01989683124539425,10,3
RF_SRPT_proxy,656,134.70064024390243,602.5,10115.0,0.2591462483522821,0.01989683124539425,10,3
Pollux_proxy,656,135.95673780487803,602.5,10115.0,0.2591462483522821,0.005404077622205846,31,3
Wind_proxy,656,136.00856707317072,602.5,10115.0,0.2591462483522821,0.005404077622205846,34,3
PredSched_LLM,656,135.4384298780488,602.5,10115.0,0.25914624835228206,0.011299435028248588,7,3
FIFO,656,142.14425304878048,602.5,10115.0,0.25914624835228217,0.005649717514124294,0,4
QSSF_proxy,656,134.70064024390243,602.5,10115.0,0.2591462483522821,0.01989683124539425,10,4
RF_SRPT_proxy,656,134.70064024390243,602.5,10115.0,0.2591462483522821,0.01989683124539425,10,4
Pollux_proxy,656,135.95673780487803,602.5,10115.0,0.2591462483522821,0.005404077622205846,31,4
Wind_proxy,656,136.47198170731707,602.5,10115.0,0.2591462483522821,0.005404077622205846,31,4
PredSched_LLM,656,135.54666158536585,602.5,10115.0,0.25914624835228206,0.012773274379759274,11,4
