policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,config,n_hosts,total_capacity
FIFO,656,133.7494054878049,602.5,10115.0,0.05056512162971358,0.005404077622205846,0,oversized_615host,615,4920
QSSF_proxy,656,133.7494054878049,602.5,10115.0,0.05056512162971358,0.01989683124539425,0,oversized_615host,615,4920
RF_SRPT_proxy,656,133.7494054878049,602.5,10115.0,0.05056512162971358,0.01989683124539425,0,oversized_615host,615,4920
Backfill_FIFO,656,133.7494054878049,602.5,10115.0,0.05056512162971358,0.005404077622205846,0,oversized_615host,615,4920
Wind_proxy,656,133.7494054878049,602.5,10115.0,0.05056512162971358,0.005649717514124294,0,oversized_615host,615,4920
PredSched_LLM,656,133.7494054878049,602.5,10115.0,0.05056512162971358,0.0029476787030213707,0,oversized_615host,615,4920
FIFO,656,133.7494054878049,602.5,10115.0,0.1554877490113692,0.005404077622205846,0,tight_200host,200,1600
QSSF_proxy,656,133.7494054878049,602.5,10115.0,0.1554877490113692,0.01989683124539425,0,tight_200host,200,1600
RF_SRPT_proxy,656,133.7494054878049,602.5,10115.0,0.1554877490113692,0.01989683124539425,0,tight_200host,200,1600
Backfill_FIFO,656,133.7494054878049,602.5,10115.0,0.1554877490113692,0.005404077622205846,0,tight_200host,200,1600
Wind_proxy,656,133.7494054878049,602.5,10115.0,0.1554877490113692,0.005649717514124294,0,tight_200host,200,1600
PredSched_LLM,656,133.7494054878049,602.5,10115.0,0.1554877490113692,0.0029476787030213707,0,tight_200host,200,1600
FIFO,656,142.14425304878048,602.5,10115.0,0.25914624835228217,0.005649717514124294,0,constrained_120host,120,960
QSSF_proxy,656,134.70064024390243,602.5,10115.0,0.2591462483522821,0.01989683124539425,10,constrained_120host,120,960
RF_SRPT_proxy,656,134.70064024390243,602.5,10115.0,0.2591462483522821,0.01989683124539425,10,constrained_120host,120,960
Backfill_FIFO,656,135.95673780487803,602.5,10115.0,0.2591462483522821,0.005404077622205846,31,constrained_120host,120,960
Wind_proxy,656,135.96893292682927,602.5,10115.0,0.2591462483522821,0.005404077622205846,34,constrained_120host,120,960
PredSched_LLM,656,136.60763719512195,602.5,10115.0,0.25914624835228206,0.011790714812085483,7,constrained_120host,120,960
