policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,n_hosts,total_capacity
FIFO,656,133.7494054878049,602.5,10115.0,0.05056512162971358,0.005404077622205846,0,615,4920
QSSF_proxy,656,133.7494054878049,602.5,10115.0,0.05056512162971358,0.01989683124539425,0,615,4920
RF_SRPT_proxy,656,133.7494054878049,602.5,10115.0,0.05056512162971358,0.01989683124539425,0,615,4920
Backfill_FIFO,656,133.7494054878049,602.5,10115.0,0.05056512162971358,0.005404077622205846,0,615,4920
Wind_proxy,656,133.7494054878049,602.5,10115.0,0.05056512162971358,0.005649717514124294,0,615,4920
PredSched_LLM,656,133.7494054878049,602.5,10115.0,0.05056512162971358,0.0029476787030213707,0,615,4920
FIFO,656,133.7494054878049,602.5,10115.0,0.06219509960454769,0.005404077622205846,0,500,4000
QSSF_proxy,656,133.7494054878049,602.5,10115.0,0.06219509960454769,0.01989683124539425,0,500,4000
RF_SRPT_proxy,656,133.7494054878049,602.5,10115.0,0.06219509960454769,0.01989683124539425,0,500,4000
Backfill_FIFO,656,133.7494054878049,602.5,10115.0,0.06219509960454769,0.005404077622205846,0,500,4000
Wind_proxy,656,133.7494054878049,602.5,10115.0,0.06219509960454769,0.005649717514124294,0,500,4000
PredSched_LLM,656,133.7494054878049,602.5,10115.0,0.06219509960454769,0.0029476787030213707,0,500,4000
FIFO,656,133.7494054878049,602.5,10115.0,0.0777438745056846,0.005404077622205846,0,400,3200
QSSF_proxy,656,133.7494054878049,602.5,10115.0,0.0777438745056846,0.01989683124539425,0,400,3200
RF_SRPT_proxy,656,133.7494054878049,602.5,10115.0,0.0777438745056846,0.01989683124539425,0,400,3200
Backfill_FIFO,656,133.7494054878049,602.5,10115.0,0.0777438745056846,0.005404077622205846,0,400,3200
Wind_proxy,656,133.7494054878049,602.5,10115.0,0.0777438745056846,0.005649717514124294,0,400,3200
PredSched_LLM,656,133.7494054878049,602.5,10115.0,0.0777438745056846,0.002702038811102923,0,400,3200
FIFO,656,133.7494054878049,602.5,10115.0,0.10365849934091274,0.005404077622205846,0,300,2400
QSSF_proxy,656,133.7494054878049,602.5,10115.0,0.10365849934091274,0.01989683124539425,0,300,2400
RF_SRPT_proxy,656,133.7494054878049,602.5,10115.0,0.10365849934091274,0.01989683124539425,0,300,2400
Backfill_FIFO,656,133.7494054878049,602.5,10115.0,0.10365849934091274,0.005404077622205846,0,300,2400
Wind_proxy,656,133.7494054878049,602.5,10115.0,0.10365849934091274,0.005649717514124294,0,300,2400
PredSched_LLM,656,133.7494054878049,602.5,10115.0,0.10365849934091274,0.0029476787030213707,0,300,2400
FIFO,656,133.7494054878049,602.5,10115.0,0.12439019920909539,0.005404077622205846,0,250,2000
QSSF_proxy,656,133.7494054878049,602.5,10115.0,0.12439019920909539,0.01989683124539425,0,250,2000
RF_SRPT_proxy,656,133.7494054878049,602.5,10115.0,0.12439019920909539,0.01989683124539425,0,250,2000
Backfill_FIFO,656,133.7494054878049,602.5,10115.0,0.12439019920909539,0.005404077622205846,0,250,2000
Wind_proxy,656,133.7494054878049,602.5,10115.0,0.12439019920909539,0.005649717514124294,0,250,2000
PredSched_LLM,656,133.7494054878049,602.5,10115.0,0.12439019920909539,0.0029476787030213707,0,250,2000
FIFO,656,133.7494054878049,602.5,10115.0,0.1554877490113692,0.005404077622205846,0,200,1600
QSSF_proxy,656,133.7494054878049,602.5,10115.0,0.1554877490113692,0.01989683124539425,0,200,1600
RF_SRPT_proxy,656,133.7494054878049,602.5,10115.0,0.1554877490113692,0.01989683124539425,0,200,1600
Backfill_FIFO,656,133.7494054878049,602.5,10115.0,0.1554877490113692,0.005404077622205846,0,200,1600
Wind_proxy,656,133.7494054878049,602.5,10115.0,0.1554877490113692,0.005649717514124294,0,200,1600
PredSched_LLM,656,133.7494054878049,602.5,10115.0,0.1554877490113692,0.0029476787030213707,0,200,1600
FIFO,656,133.7494054878049,602.5,10115.0,0.17770028458442205,0.005404077622205846,0,175,1400
QSSF_proxy,656,133.7494054878049,602.5,10115.0,0.17770028458442205,0.01989683124539425,0,175,1400
