policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,n_hosts,boot_rep
FIFO,559,142.89343470483007,705.3000000000012,9047.0,0.23248117124461146,0.00904977375565611,0,120,0
Backfill_FIFO,559,142.89343470483007,705.3000000000012,9047.0,0.23248117124461146,0.00904977375565611,0,120,0
RF_SRPT_proxy,559,142.89343470483007,705.3000000000012,9047.0,0.23248117124461146,0.00904977375565611,0,120,0
FIFO,982,284.1262423625255,1121.9005,9922.0,0.3603287108193913,0.002534211860111505,0,120,1
Backfill_FIFO,982,170.81448065173117,931.6999999999996,9047.0,0.39517867456062816,0.002280790674100355,96,120,1
RF_SRPT_proxy,982,162.8379531568228,915.8499999999998,9047.0,0.39517867456062816,0.016979219462747084,96,120,1
FIFO,613,98.59437194127244,481.9999999999957,10115.0,0.09569358728785635,0.012900143334925944,0,120,2
Backfill_FIFO,613,98.16014681892332,481.9999999999957,10115.0,0.09569358728785635,0.012900143334925944,35,120,2
RF_SRPT_proxy,613,98.15696574225123,481.9999999999957,10115.0,0.09569358728785635,0.003503742634177417,16,120,2
FIFO,501,156.43141716566868,854.0,9047.0,0.10286234502229101,0.02147039687703318,0,120,3
Backfill_FIFO,501,156.43141716566868,854.0,9047.0,0.10286234502229101,0.02147039687703318,0,120,3
RF_SRPT_proxy,501,156.43141716566868,854.0,9047.0,0.10286234502229101,0.02147039687703318,0,120,3
FIFO,575,122.04619130434783,343.2999999999995,10115.0,0.10759144731421978,0.003299492385786802,0,120,4
Backfill_FIFO,575,122.03575652173913,343.2999999999995,10115.0,0.10759144731421981,0.003299492385786802,2,120,4
RF_SRPT_proxy,575,122.03575652173913,343.2999999999995,10115.0,0.10759144731421981,0.018274111675126905,1,120,4
FIFO,542,153.22099630996308,697.1999999999962,10115.0,0.2197518341159994,0.011299435028248588,0,120,5
Backfill_FIFO,542,153.22099630996308,697.1999999999962,10115.0,0.2197518341159994,0.011299435028248588,0,120,5
RF_SRPT_proxy,542,153.22099630996308,697.1999999999962,10115.0,0.2197518341159994,0.011299435028248588,0,120,5
FIFO,490,217.94222448979596,1199.949999999996,10115.0,0.3788969373043335,0.011210762331838564,0,120,6
Backfill_FIFO,490,217.92997959183677,1199.949999999996,10115.0,0.3788969373043335,0.011210762331838564,2,120,6
RF_SRPT_proxy,490,217.92997959183677,1199.949999999996,10115.0,0.3788969373043335,0.011210762331838564,0,120,6
FIFO,642,140.20590342679128,404.4499999999979,10115.0,0.35324891765529726,0.009408194233687404,0,120,7
Backfill_FIFO,642,135.03767912772585,404.4499999999979,10115.0,0.3532489176552973,0.009559939301972686,60,120,7
RF_SRPT_proxy,642,135.04869158878503,404.4499999999979,10115.0,0.3532489176552973,0.0004552352048558422,32,120,7
FIFO,363,218.57129476584024,1231.099999999998,9047.0,0.3193829238974246,0.008064516129032258,0,120,8
Backfill_FIFO,363,218.57129476584024,1231.099999999998,9047.0,0.3193829238974246,0.008064516129032258,0,120,8
RF_SRPT_proxy,363,218.57129476584024,1231.099999999998,9047.0,0.3193829238974246,0.008064516129032258,0,120,8
FIFO,821,203.08478684531062,823.0,9047.0,0.3838363787719686,0.009338036937123885,0,120,9
Backfill_FIFO,821,178.02023142509134,823.0,9047.0,0.38383637877196874,0.009338036937123885,47,120,9
RF_SRPT_proxy,821,180.96298416565162,823.0,9047.0,0.3838363787719687,0.021166217057480806,12,120,9
FIFO,404,178.8453465346535,891.3999999999985,9047.0,0.24135239697321392,0.004362050163576881,0,120,10
Backfill_FIFO,404,170.69435643564358,891.3999999999985,9047.0,0.24135239697321392,0.004362050163576881,23,120,10
RF_SRPT_proxy,404,169.62257425742575,891.3999999999985,9047.0,0.24135239697321384,0.020174482006543076,11,120,10
FIFO,485,158.50944329896907,493.19999999999504,10115.0,0.21444234326083364,0.01015228426395939,0,120,11
Backfill_FIFO,485,158.50944329896907,493.19999999999504,10115.0,0.21444234326083364,0.01015228426395939,0,120,11
RF_SRPT_proxy,485,158.50944329896907,493.19999999999504,10115.0,0.21444234326083364,0.01015228426395939,0,120,11
FIFO,772,168.36611398963737,631.8999999999985,10115.0,0.29948325403690895,0.013737231419513914,0,120,12
Backfill_FIFO,772,108.88173575129534,622.0,10115.0,0.29948325403690895,0.013173652694610778,223,120,12
RF_SRPT_proxy,772,107.81965025906736,622.0,10115.0,0.29948325403690895,0.0007044734061289186,117,120,12
FIFO,273,255.52901098901097,1357.799999999997,10115.0,0.14107199600428408,0.044444444444444446,0,120,13
Backfill_FIFO,273,255.52901098901097,1357.799999999997,10115.0,0.14107199600428408,0.044444444444444446,0,120,13
RF_SRPT_proxy,273,255.52901098901097,1357.799999999997,10115.0,0.14107199600428408,0.044444444444444446,0,120,13
FIFO,701,129.7121398002853,394.0,10115.0,0.16252004242873616,0.00816130580892943,0,120,14
Backfill_FIFO,701,129.7121398002853,394.0,10115.0,0.16252004242873616,0.00816130580892943,0,120,14
RF_SRPT_proxy,701,129.7121398002853,394.0,10115.0,0.16252004242873616,0.008641382621219395,0,120,14
FIFO,746,149.0148525469169,650.0,9047.0,0.3498777990401974,0.0014573718727228565,0,120,15
Backfill_FIFO,746,127.84997319034855,620.5,9047.0,0.3498777990401974,0.0019431624969638087,66,120,15
RF_SRPT_proxy,746,125.84595174262736,650.75,9047.0,0.3498777990401974,0.0162739859120719,26,120,15
FIFO,664,155.62743975903618,745.0500000000012,10115.0,0.36329589306310767,0.013588634959851761,0,120,16
Backfill_FIFO,664,155.62743975903618,745.0500000000012,10115.0,0.36329589306310767,0.013588634959851761,0,120,16
RF_SRPT_proxy,664,155.62743975903618,745.0500000000012,10115.0,0.36329589306310767,0.013588634959851761,0,120,16
FIFO,838,93.81846062052506,254.0,10115.0,0.2159547238012852,0.009263409532347229,0,120,17
Backfill_FIFO,838,91.22177804295941,254.0,10115.0,0.2159547238012852,0.009263409532347229,79,120,17
RF_SRPT_proxy,838,91.23140811455848,254.0,10115.0,0.2159547238012852,0.00029881966233378154,23,120,17
FIFO,477,2303.3425576519917,4985.816,12917.02,0.42508287515231824,0.0064017071218991735,0,120,18
